group_id,group_name,group_level,dataframe,indicator_id,mean,std,min,max,n_observations,n_experiments,system,product_mix,automation_degree,division_type,num_stations,system_type,automation_level,mean_normalized
G03,By Automation Degree,0.5,df_process,IND01,0.1,0.08,0.0,2.39,1360.0,4,,,0.5,,,,,
G03,By Automation Degree,0.5,df_resource,IND02,24.14,14.2,8.38,58.71,16.0,4,,,0.5,,,,,
G03,By Automation Degree,0.5,df_process,IND03,13.12,10.96,0.11,315.15,1360.0,4,,,0.5,,,,,
G03,By Automation Degree,0.5,df_product,IND04,396.1,261.62,182.0,1792.0,160.0,4,,,0.5,,,,,
G03,By Automation Degree,0.5,df_process,IND05,2084.88,2117.81,365.0,9565.0,1360.0,4,,,0.5,,,,,
G03,By Automation Degree,0.5,df_process,IND06,74.57,96.96,2.44,336.0,1360.0,4,,,0.5,,,,,
G03,By Automation Degree,0.54,df_process,IND01,0.08,0.07,0.0,2.37,2080.0,4,,,0.54,,,,,
G03,By Automation Degree,0.54,df_resource,IND02,26.96,11.98,12.38,53.57,17.0,4,,,0.54,,,,,
G03,By Automation Degree,0.54,df_process,IND03,10.18,9.4,0.11,312.18,2080.0,4,,,0.54,,,,,
G03,By Automation Degree,0.54,df_product,IND04,483.93,384.36,144.0,1885.0,160.0,4,,,0.54,,,,,
G03,By Automation Degree,0.54,df_process,IND05,1947.15,1396.85,0.0,4870.0,2080.0,4,,,0.54,,,,,
G03,By Automation Degree,0.54,df_process,IND06,75.05,82.04,0.0,280.4,2080.0,4,,,0.54,,,,,
G03,By Automation Degree,0.57,df_process,IND01,0.08,0.11,0.0,3.87,2557.0,4,,,0.57,,,,,
G03,By Automation Degree,0.57,df_resource,IND02,36.18,16.23,18.57,78.98,17.0,4,,,0.57,,,,,
G03,By Automation Degree,0.57,df_process,IND03,11.11,14.25,0.11,510.18,2557.0,4,,,0.57,,,,,
G03,By Automation Degree,0.57,df_product,IND04,1369.38,1367.27,254.0,5896.0,160.0,4,,,0.57,,,,,
G03,By Automation Degree,0.57,df_process,IND05,2012.18,1472.54,365.0,4870.0,2557.0,4,,,0.57,,,,,
G03,By Automation Degree,0.57,df_process,IND06,78.36,86.01,2.44,280.4,2557.0,4,,,0.57,,,,,
G03,By Automation Degree,0.63,df_process,IND01,0.08,0.05,0.0,0.2,1640.0,4,,,0.63,,,,,
G03,By Automation Degree,0.63,df_resource,IND02,21.56,10.55,5.62,43.17,17.0,4,,,0.63,,,,,
G03,By Automation Degree,0.63,df_process,IND03,10.33,6.09,0.11,25.85,1640.0,4,,,0.63,,,,,
G03,By Automation Degree,0.63,df_product,IND04,359.18,175.35,144.0,1546.0,160.0,4,,,0.63,,,,,
G03,By Automation Degree,0.63,df_process,IND05,1987.68,1717.74,0.0,9565.0,1640.0,4,,,0.63,,,,,
G03,By Automation Degree,0.63,df_process,IND06,74.0,87.53,0.0,336.0,1640.0,4,,,0.63,,,,,
G03,By Automation Degree,0.64,df_process,IND01,0.07,0.06,0.0,2.37,2080.0,4,,,0.64,,,,,
G03,By Automation Degree,0.64,df_resource,IND02,24.84,12.44,7.74,53.57,17.0,4,,,0.64,,,,,
G03,By Automation Degree,0.64,df_process,IND03,9.38,8.47,0.11,312.18,2080.0,4,,,0.64,,,,,
G03,By Automation Degree,0.64,df_product,IND04,474.16,371.88,148.0,1870.0,160.0,4,,,0.64,,,,,
G03,By Automation Degree,0.64,df_process,IND05,1947.15,1396.85,0.0,4870.0,2080.0,4,,,0.64,,,,,
G03,By Automation Degree,0.64,df_process,IND06,75.05,82.04,0.0,280.4,2080.0,4,,,0.64,,,,,
G03,By Automation Degree,0.66,df_process,IND01,0.07,0.04,0.0,0.17,2680.0,8,,,0.66,,,,,
G03,By Automation Degree,0.66,df_resource,IND02,17.65,9.17,3.1,40.24,32.0,8,,,0.66,,,,,
G03,By Automation Degree,0.66,df_process,IND03,9.74,4.82,0.11,22.88,2680.0,8,,,0.66,,,,,
G03,By Automation Degree,0.66,df_product,IND04,304.21,92.53,144.0,592.0,320.0,8,,,0.66,,,,,
G03,By Automation Degree,0.66,df_process,IND05,1883.16,1682.2,0.0,9565.0,2680.0,8,,,0.66,,,,,
G03,By Automation Degree,0.66,df_process,IND06,67.67,82.43,0.0,336.0,2680.0,8,,,0.66,,,,,
G03,By Automation Degree,0.69,df_process,IND01,0.07,0.04,0.0,0.13,1640.0,4,,,0.69,,,,,
G03,By Automation Degree,0.69,df_resource,IND02,20.28,10.96,3.88,43.17,17.0,4,,,0.69,,,,,
G03,By Automation Degree,0.69,df_process,IND03,9.71,5.03,0.11,17.82,1640.0,4,,,0.69,,,,,
G03,By Automation Degree,0.69,df_product,IND04,349.86,148.96,144.0,1521.0,160.0,4,,,0.69,,,,,
G03,By Automation Degree,0.69,df_process,IND05,1987.68,1717.74,0.0,9565.0,1640.0,4,,,0.69,,,,,
G03,By Automation Degree,0.69,df_process,IND06,74.0,87.53,0.0,336.0,1640.0,4,,,0.69,,,,,
