exp_id,system,product_mix,automation_level,caseID,product_id,product_type,station_id,component_name,step_name,quality,start_time,end_time,process_duration
exp084,system_01,sa_rd,a06,16,prod_016_car_sa,car_sa,ws-03_S1toS4,comp_016_RT_2/2,RT,1.0,2025-01-02 12:46:53,2025-01-02 12:56:43,9.8
exp084,system_01,sa_rd,a06,15,prod_015_car_rd,car_rd,ws-04_S5S7,comp_015_CORE,CORE,1.0,2025-01-02 12:47:30,2025-01-02 13:00:30,13.0
exp084,system_01,sa_rd,a06,16,prod_016_car_sa,car_sa,ws-03_S1toS4,comp_016_FT_1/2,FT,1.0,2025-01-02 12:57:43,2025-01-02 13:03:43,6.0
exp084,system_01,sa_rd,a06,11,group_011_REAR_AXIS_GROUP,car_hd,ws-05_S6S8,comp_011_RAX_HD,RAX_HD,1.0,2025-01-02 12:58:44,2025-01-02 12:58:50,0.1
exp084,system_01,sa_rd,a06,13,prod_013_car_rd,car_rd,ws-05_S6S8,comp_013_BSA_1/2,BSA,1.0,2025-01-02 13:02:50,2025-01-02 13:16:39,13.8
exp084,system_01,sa_rd,a06,16,prod_016_car_sa,car_sa,ws-03_S1toS4,comp_016_FT_2/2,FT,1.0,2025-01-02 13:04:43,2025-01-02 13:10:43,6.0
exp084,system_01,sa_rd,a06,13,prod_013_car_rd,car_rd,ws-05_S6S8,comp_013_BSA_2/2,BSA,1.0,2025-01-02 13:17:39,2025-01-02 13:31:29,13.8
exp084,system_01,sa_rd,a06,13,prod_013_car_rd,car_rd,ws-05_S6S8,comp_013_RAX_RD,RAX_RD,1.0,2025-01-02 13:32:29,2025-01-02 13:32:35,0.1
exp084,system_01,sa_rd,a06,14,prod_014_car_sa,car_sa,ws-05_S6S8,comp_014_SSA_1/2,SSA,1.0,2025-01-02 13:36:35,2025-01-02 13:50:25,13.8
exp084,system_01,sa_rd,a06,14,prod_014_car_sa,car_sa,ws-05_S6S8,comp_014_SSA_2/2,SSA,1.0,2025-01-02 13:51:25,2025-01-02 14:05:15,13.8
exp084,system_01,sa_rd,a06,14,prod_014_car_sa,car_sa,ws-05_S6S8,comp_014_BSA_1/2,BSA,1.0,2025-01-02 14:06:15,2025-01-02 14:20:05,13.8
exp084,system_01,sa_rd,a06,14,prod_014_car_sa,car_sa,ws-05_S6S8,comp_014_BSA_2/2,BSA,1.0,2025-01-02 14:21:05,2025-01-02 14:34:54,13.8
exp084,system_01,sa_rd,a06,14,prod_014_car_sa,car_sa,ws-05_S6S8,comp_014_CSEB-NABS,CSEB-NABS,1.0,2025-01-02 14:35:54,2025-01-02 14:36:00,0.1
exp084,system_01,sa_rd,a06,15,prod_015_car_rd,car_rd,ws-05_S6S8,comp_015_BSA_1/2,BSA,1.0,2025-01-02 14:40:00,2025-01-02 14:53:50,13.8
exp084,system_01,sa_rd,a06,15,prod_015_car_rd,car_rd,ws-05_S6S8,comp_015_BSA_2/2,BSA,1.0,2025-01-02 14:54:50,2025-01-02 15:08:40,13.8
exp084,system_01,sa_rd,a06,15,prod_015_car_rd,car_rd,ws-05_S6S8,comp_015_RAX_RD,RAX_RD,1.0,2025-01-02 15:09:40,2025-01-02 15:09:46,0.1
exp084,system_01,sa_rd,a06,16,prod_016_car_sa,car_sa,ws-05_S6S8,comp_016_SSA_1/2,SSA,1.0,2025-01-02 15:13:46,2025-01-02 15:27:36,13.8
exp084,system_01,sa_rd,a06,16,prod_016_car_sa,car_sa,ws-05_S6S8,comp_016_SSA_2/2,SSA,1.0,2025-01-02 15:28:36,2025-01-02 15:42:26,13.8
exp084,system_01,sa_rd,a06,16,prod_016_car_sa,car_sa,ws-05_S6S8,comp_016_BSA_1/2,BSA,1.0,2025-01-02 15:43:26,2025-01-02 15:57:15,13.8
exp084,system_01,sa_rd,a06,16,prod_016_car_sa,car_sa,ws-05_S6S8,comp_016_BSA_2/2,BSA,1.0,2025-01-02 15:58:15,2025-01-02 16:12:05,13.8
exp084,system_01,sa_rd,a06,16,prod_016_car_sa,car_sa,ws-05_S6S8,comp_016_CSEB-NABS,CSEB-NABS,1.0,2025-01-02 16:13:05,2025-01-02 16:13:11,0.1
exp084,system_01,sa_rd,a06,17,prod_017_car_sa,car_sa,ws-03_S1toS4,comp_017_RT_1/2,RT,1.0,2025-01-03 07:13:48,2025-01-03 07:23:37,9.8
exp084,system_01,sa_rd,a06,17,prod_017_car_sa,car_sa,ws-03_S1toS4,comp_017_RT_2/2,RT,1.0,2025-01-03 07:24:37,2025-01-03 07:34:27,9.8
exp084,system_01,sa_rd,a06,17,prod_017_car_sa,car_sa,ws-03_S1toS4,comp_017_FT_1/2,FT,1.0,2025-01-03 07:35:27,2025-01-03 07:41:27,6.0
exp084,system_01,sa_rd,a06,17,prod_017_car_sa,car_sa,ws-03_S1toS4,comp_017_FT_2/2,FT,1.0,2025-01-03 07:42:27,2025-01-03 07:48:27,6.0
exp084,system_01,sa_rd,a06,18,prod_018_car_hd,car_hd,ws-03_S1toS4,comp_018_BOSP_1/2,BOSP,1.0,2025-01-03 07:53:27,2025-01-03 08:02:17,8.8
exp084,system_01,sa_rd,a06,18,prod_018_car_hd,car_hd,ws-03_S1toS4,comp_018_BOSP_2/2,BOSP,1.0,2025-01-03 08:03:17,2025-01-03 08:12:07,8.8
exp084,system_01,sa_rd,a06,17,prod_017_car_sa,car_sa,ws-05_S6S8,comp_017_SSA_1/2,SSA,1.0,2025-01-03 08:07:28,2025-01-03 08:21:17,13.8
exp084,system_01,sa_rd,a06,18,prod_018_car_hd,car_hd,ws-03_S1toS4,comp_018_BAT,BAT,1.0,2025-01-03 08:13:07,2025-01-03 08:20:07,7.0
exp084,system_01,sa_rd,a06,18,prod_018_car_hd,car_hd,ws-03_S1toS4,comp_018_RT_1/2,RT,1.0,2025-01-03 08:21:07,2025-01-03 08:30:57,9.8
exp084,system_01,sa_rd,a06,17,prod_017_car_sa,car_sa,ws-05_S6S8,comp_017_SSA_2/2,SSA,1.0,2025-01-03 08:22:17,2025-01-03 08:36:07,13.8
exp084,system_01,sa_rd,a06,18,prod_018_car_hd,car_hd,ws-03_S1toS4,comp_018_RT_2/2,RT,1.0,2025-01-03 08:31:57,2025-01-03 08:41:46,9.8
exp084,system_01,sa_rd,a06,17,prod_017_car_sa,car_sa,ws-05_S6S8,comp_017_BSA_1/2,BSA,1.0,2025-01-03 08:37:07,2025-01-03 08:50:57,13.8
exp084,system_01,sa_rd,a06,18,prod_018_car_hd,car_hd,ws-03_S1toS4,comp_018_FT_1/2,FT,1.0,2025-01-03 08:42:46,2025-01-03 08:48:46,6.0
exp084,system_01,sa_rd,a06,18,prod_018_car_hd,car_hd,ws-03_S1toS4,comp_018_FT_2/2,FT,1.0,2025-01-03 08:49:46,2025-01-03 08:55:46,6.0
exp084,system_01,sa_rd,a06,17,prod_017_car_sa,car_sa,ws-05_S6S8,comp_017_BSA_2/2,BSA,1.0,2025-01-03 08:51:57,2025-01-03 09:05:47,13.8
exp084,system_01,sa_rd,a06,19,prod_019_car_sa,car_sa,ws-03_S1toS4,comp_019_RT_1/2,RT,1.0,2025-01-03 09:00:46,2025-01-03 09:10:36,9.8
exp084,system_01,sa_rd,a06,17,prod_017_car_sa,car_sa,ws-05_S6S8,comp_017_CSEB-NABS,CSEB-NABS,1.0,2025-01-03 09:06:47,2025-01-03 09:06:53,0.1
exp084,system_01,sa_rd,a06,19,prod_019_car_sa,car_sa,ws-03_S1toS4,comp_019_RT_2/2,RT,1.0,2025-01-03 09:11:36,2025-01-03 09:21:26,9.8
exp084,system_01,sa_rd,a06,18,prod_018_car_hd,car_hd,ws-04_S5S7,group_018_FRONT_AXIS_GROUP,FRONT_AXIS_GROUP,1.0,2025-01-03 09:13:04,2025-01-03 09:29:15,16.2
exp084,system_01,sa_rd,a06,19,prod_019_car_sa,car_sa,ws-03_S1toS4,comp_019_FT_1/2,FT,1.0,2025-01-03 09:22:26,2025-01-03 09:28:26,6.0
exp084,system_01,sa_rd,a06,19,prod_019_car_sa,car_sa,ws-03_S1toS4,comp_019_FT_2/2,FT,1.0,2025-01-03 09:29:26,2025-01-03 09:35:26,6.0
exp084,system_01,sa_rd,a06,18,prod_018_car_hd,car_hd,ws-04_S5S7,group_018_REAR_AXIS_GROUP,REAR_AXIS_GROUP,1.0,2025-01-03 09:30:15,2025-01-03 09:30:21,0.1
exp084,system_01,sa_rd,a06,20,prod_020_car_tl,car_tl,ws-03_S1toS4,comp_020_BOSP_1/2,BOSP,1.0,2025-01-03 09:40:26,2025-01-03 09:49:16,8.8
exp084,system_01,sa_rd,a06,18,group_018_FRONT_AXIS_GROUP,car_hd,ws-05_S6S8,comp_018_SSA_1/2,SSA,1.0,2025-01-03 09:42:30,2025-01-03 09:56:19,13.8
exp084,system_01,sa_rd,a06,20,prod_020_car_tl,car_tl,ws-03_S1toS4,comp_020_BOSP_2/2,BOSP,1.0,2025-01-03 09:50:16,2025-01-03 09:59:06,8.8
exp084,system_01,sa_rd,a06,18,group_018_FRONT_AXIS_GROUP,car_hd,ws-05_S6S8,comp_018_SSA_2/2,SSA,1.0,2025-01-03 09:57:19,2025-01-03 10:11:09,13.8
exp084,system_01,sa_rd,a06,20,prod_020_car_tl,car_tl,ws-03_S1toS4,comp_020_BAT,BAT,1.0,2025-01-03 10:00:06,2025-01-03 10:07:06,7.0
exp084,system_01,sa_rd,a06,20,prod_020_car_tl,car_tl,ws-03_S1toS4,comp_020_RT_1/2,RT,1.0,2025-01-03 10:08:06,2025-01-03 10:17:55,9.8
exp084,system_01,sa_rd,a06,18,group_018_FRONT_AXIS_GROUP,car_hd,ws-05_S6S8,comp_018_FAX,FAX,1.0,2025-01-03 10:12:09,2025-01-03 10:12:15,0.1
exp084,system_01,sa_rd,a06,19,prod_019_car_sa,car_sa,ws-05_S6S8,comp_019_SSA_1/2,SSA,1.0,2025-01-03 10:16:15,2025-01-03 10:30:05,13.8
