caseID,product_type,delivery_time,condition,target_components,missing_components
30,car_hd,2025-01-04T06:05:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
31,car_hd,2025-01-04T06:06:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
32,car_hd,2025-01-04T06:07:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
33,car_tl,2025-01-05T06:00:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
34,car_tl,2025-01-05T06:01:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
35,car_hd,2025-01-05T06:02:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
36,car_hd,2025-01-05T06:03:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
37,car_tl,2025-01-05T06:04:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
38,car_tl,2025-01-05T06:05:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
39,car_tl,2025-01-05T06:06:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
40,car_hd,2025-01-05T06:07:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
