event_id,caseID,object_id,object_type,activity,activity_state,resource_id,resource_location,timestamp,related_objects
e005277,35,comp_035_BOSP_2,component,transport,unload,logistics_resource_01,vehicle,2025-01-05T09:31:52,
e005278,38,prod_038_car_tl,product,disassembly,complete,ws-02_S1toS8,workstation,2025-01-05T09:32:46,comp_038_RT_2/2:removed
e005279,38,comp_038_RT_2,component,object,created,ws-02_S1toS8,workstation,2025-01-05T09:32:46,prod_038_car_tl:parent
e005280,36,group_036_FRONT_AXIS_GROUP,group,disassembly,complete,ws-04_S1toS8,workstation,2025-01-05T09:32:49,comp_036_SSA_1/2:removed
e005281,36,comp_036_SSA_1,component,object,created,ws-04_S1toS8,workstation,2025-01-05T09:32:49,group_group_036_FRONT_AXIS_GROUP:parent
e005282,35,comp_035_BOSP_2,component,buffer,enter,outgoing_storage,inbuf,2025-01-05T09:32:52,
e005283,35,comp_035_BOSP_2,component,buffer,exit,outgoing_storage,inbuf,2025-01-05T09:32:52,
e005284,35,comp_035_BOSP_2,component,system,exit,outgoing_storage,shipping,2025-01-05T09:32:52,
e005285,37,comp_037_RT_2,component,buffer,exit,ws-01_S1toS8,outbuf_to_store,2025-01-05T09:33:32,
e005286,38,comp_038_RT_2,component,buffer,enter,ws-02_S1toS8,outbuf_to_store,2025-01-05T09:33:46,
e005287,38,prod_038_car_tl,product,disassembly,start,ws-02_S1toS8,workstation,2025-01-05T09:33:46,comp_038_FT_1/2:target
e005288,36,comp_036_SSA_1,component,buffer,enter,ws-04_S1toS8,outbuf_to_store,2025-01-05T09:33:49,
e005289,36,group_036_FRONT_AXIS_GROUP,group,disassembly,start,ws-04_S1toS8,workstation,2025-01-05T09:33:49,comp_036_SSA_2/2:target
e005290,37,comp_037_RT_2,component,transport,load,logistics_resource_01,vehicle,2025-01-05T09:34:32,
e005291,37,comp_037_RT_2,component,transport,unload,logistics_resource_01,vehicle,2025-01-05T09:35:12,
e005292,37,comp_037_RT_2,component,buffer,enter,outgoing_storage,inbuf,2025-01-05T09:36:12,
