exp_id,system,step_id,components,product_mix,automation_level,product_type,n_components,total_electricity,total_circularity,total_profit,total_revenue,total_cost,mean_electricity,mean_circularity,mean_profit,mean_revenue,mean_cost
exp008,system_01,5_2_1,CHS,balanced,a06,car_hd,10,1.1,2316.0,48511.1,48700,188.9,0.11,231.6,4851.11,4870.0,18.89
exp008,system_01,5_2_2,"BSA, RAX_HD",balanced,a06,car_hd,30,2.4,909.0,26557.3,26960,402.7,0.08,30.3,885.24,898.67,13.42
exp008,system_01,1,BOSP,balanced,a06,car_rd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp008,system_01,2,RT,balanced,a06,car_rd,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp008,system_01,3,CORE,balanced,a06,car_rd,10,1.1,3360.0,95461.1,95650,188.9,0.11,336.0,9546.11,9565.0,18.89
exp008,system_01,4,"BSA, RAX_RD",balanced,a06,car_rd,30,2.4,2899.8,61337.3,61740,402.7,0.08,96.66,2044.58,2058.0,13.42
exp008,system_01,1,RT,balanced,a06,car_sa,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp008,system_01,2,FT,balanced,a06,car_sa,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp008,system_01,3,SSA,balanced,a06,car_sa,20,2.4,48.8,6898.8,7300,401.2,0.12,2.44,344.94,365.0,20.06
exp008,system_01,4,"BSA, CSEB-NABS",balanced,a06,car_sa,30,2.4,1866.0,41857.3,42260,402.7,0.08,62.2,1395.24,1408.67,13.42
exp008,system_01,1,BOSP,balanced,a06,car_tl,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp008,system_01,2,BAT,balanced,a06,car_tl,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp008,system_01,3,RT,balanced,a06,car_tl,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp008,system_01,4,"CRE, FT",balanced,a06,car_tl,30,1.0,1082.0,41564.1,41740,175.9,0.03,36.07,1385.47,1391.33,5.86
exp009,system_02,1,BOSP,hd,a00,car_hd,80,5.6,1007.2,60176.8,61200,1023.2,0.07,12.59,752.21,765.0,12.79
exp009,system_02,2,BAT,hd,a00,car_hd,40,2.4,8868.0,145673.2,146080,406.8,0.06,221.7,3641.83,3652.0,10.17
exp009,system_02,3,RT,hd,a00,car_hd,80,7.2,6336.0,179577.6,180880,1302.4,0.09,79.2,2244.72,2261.0,16.28
exp009,system_02,4,FT,hd,a00,car_hd,80,8.0,4328.0,165506.4,166960,1453.6,0.1,54.1,2068.83,2087.0,18.17
exp009,system_02,5,"FRONT_AXIS_GROUP, REAR_AXIS_GROUP",hd,a00,car_hd,80,8.0,14692.0,346468.0,347840,1372.0,0.1,183.65,4330.85,4348.0,17.15
exp009,system_02,5_1_1,"FAX, SSA",hd,a00,car_hd,120,14.4,1984.8,78819.6,81360,2540.4,0.12,16.54,656.83,678.0,21.17
exp009,system_02,5_2_1,CHS,hd,a00,car_hd,40,6.8,9264.0,193590.8,194800,1209.2,0.17,231.6,4839.77,4870.0,30.23
exp009,system_02,5_2_2,"BSA, RAX_HD",hd,a00,car_hd,120,11.2,3636.0,105914.8,107840,1925.2,0.09,30.3,882.62,898.67,16.04
exp010,system_02,1,BOSP,hd,a02,car_hd,80,5.6,1007.2,60176.8,61200,1023.2,0.07,12.59,752.21,765.0,12.79
exp010,system_02,2,BAT,hd,a02,car_hd,40,2.4,8868.0,145673.2,146080,406.8,0.06,221.7,3641.83,3652.0,10.17
exp010,system_02,3,RT,hd,a02,car_hd,80,6.4,6336.0,179740.8,180880,1139.2,0.08,79.2,2246.76,2261.0,14.24
exp010,system_02,4,FT,hd,a02,car_hd,80,4.0,4328.0,166262.4,166960,697.6,0.05,54.1,2078.28,2087.0,8.72
exp010,system_02,5,"FRONT_AXIS_GROUP, REAR_AXIS_GROUP",hd,a02,car_hd,80,8.0,14692.0,346468.0,347840,1372.0,0.1,183.65,4330.85,4348.0,17.15
exp010,system_02,5_1_1,"FAX, SSA",hd,a02,car_hd,120,14.4,1984.8,78819.6,81360,2540.4,0.12,16.54,656.83,678.0,21.17
exp010,system_02,5_2_1,CHS,hd,a02,car_hd,40,6.8,9264.0,193590.8,194800,1209.2,0.17,231.6,4839.77,4870.0,30.23
exp010,system_02,5_2_2,"BSA, RAX_HD",hd,a02,car_hd,120,11.2,3636.0,105914.8,107840,1925.2,0.09,30.3,882.62,898.67,16.04
exp011,system_02,1,BOSP,hd,a04,car_hd,80,5.6,1007.2,60176.8,61200,1023.2,0.07,12.59,752.21,765.0,12.79
exp011,system_02,2,BAT,hd,a04,car_hd,40,2.4,8868.0,145673.2,146080,406.8,0.06,221.7,3641.83,3652.0,10.17
exp011,system_02,3,RT,hd,a04,car_hd,80,6.4,6336.0,179740.8,180880,1139.2,0.08,79.2,2246.76,2261.0,14.24
exp011,system_02,4,FT,hd,a04,car_hd,80,4.0,4328.0,166262.4,166960,697.6,0.05,54.1,2078.28,2087.0,8.72
exp011,system_02,5,"FRONT_AXIS_GROUP, REAR_AXIS_GROUP",hd,a04,car_hd,80,8.0,14692.0,346468.0,347840,1372.0,0.1,183.65,4330.85,4348.0,17.15
exp011,system_02,5_1_1,"FAX, SSA",hd,a04,car_hd,120,9.6,1984.8,79749.2,81360,1610.8,0.08,16.54,664.58,678.0,13.42
exp011,system_02,5_2_1,CHS,hd,a04,car_hd,40,6.8,9264.0,193590.8,194800,1209.2,0.17,231.6,4839.77,4870.0,30.23
exp011,system_02,5_2_2,"BSA, RAX_HD",hd,a04,car_hd,120,9.6,3636.0,106229.2,107840,1610.8,0.08,30.3,885.24,898.67,13.42
exp012,system_02,1,BOSP,hd,a06,car_hd,80,5.6,1007.2,60176.8,61200,1023.2,0.07,12.59,752.21,765.0,12.79
exp012,system_02,2,BAT,hd,a06,car_hd,40,2.4,8868.0,145673.2,146080,406.8,0.06,221.7,3641.83,3652.0,10.17
exp012,system_02,3,RT,hd,a06,car_hd,80,6.4,6336.0,179740.8,180880,1139.2,0.08,79.2,2246.76,2261.0,14.24
exp012,system_02,4,FT,hd,a06,car_hd,80,4.0,4328.0,166262.4,166960,697.6,0.05,54.1,2078.28,2087.0,8.72
exp012,system_02,5,"FRONT_AXIS_GROUP, REAR_AXIS_GROUP",hd,a06,car_hd,80,5.2,14692.0,346892.4,347840,947.6,0.06,183.65,4336.16,4348.0,11.84
exp012,system_02,5_1_1,"FAX, SSA",hd,a06,car_hd,120,9.6,1984.8,79749.2,81360,1610.8,0.08,16.54,664.58,678.0,13.42
exp012,system_02,5_2_1,CHS,hd,a06,car_hd,40,4.4,9264.0,194044.4,194800,755.6,0.11,231.6,4851.11,4870.0,18.89
exp012,system_02,5_2_2,"BSA, RAX_HD",hd,a06,car_hd,120,9.6,3636.0,106229.2,107840,1610.8,0.08,30.3,885.24,898.67,13.42
exp013,system_02,1,BOSP,balanced,a00,car_hd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp013,system_02,2,BAT,balanced,a00,car_hd,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp013,system_02,3,RT,balanced,a00,car_hd,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp013,system_02,4,FT,balanced,a00,car_hd,20,2.0,1082.0,41376.6,41740,363.4,0.1,54.1,2068.83,2087.0,18.17
exp013,system_02,5,"FRONT_AXIS_GROUP, REAR_AXIS_GROUP",balanced,a00,car_hd,20,2.0,3673.0,86617.0,86960,343.0,0.1,183.65,4330.85,4348.0,17.15
