exp_id,system,product_mix,automation_level,station_id,runtime_minutes,waiting_time_minutes,closed_time_minutes,total_simulation_time_minutes,factory_open_time_minutes,utilization_rate_running,utilization_rate_waiting,utilization_rate_closed
exp036,system_01,front,a06,ws-04_S5S7,408,3792,5880,10080,4200,4.05,37.62,58.33
exp036,system_01,front,a06,ws-05_S6S8,1980,2220,5880,10080,4200,19.64,22.02,58.33
exp037,system_02,front,a00,ws-01_S1toS8,1569,2631,5880,10080,4200,15.57,26.1,58.33
exp037,system_02,front,a00,ws-02_S1toS8,1205,2995,5880,10080,4200,11.95,29.71,58.33
exp037,system_02,front,a00,ws-03_S1toS8,1569,2631,5880,10080,4200,15.57,26.1,58.33
exp037,system_02,front,a00,ws-04_S1toS8,1569,2631,5880,10080,4200,15.57,26.1,58.33
exp038,system_02,front,a02,ws-01_S1toS8,1411,2789,5880,10080,4200,14.0,27.67,58.33
exp038,system_02,front,a02,ws-02_S1toS8,1047,3153,5880,10080,4200,10.39,31.28,58.33
exp038,system_02,front,a02,ws-03_S1toS8,1411,2789,5880,10080,4200,14.0,27.67,58.33
exp038,system_02,front,a02,ws-04_S1toS8,1411,2789,5880,10080,4200,14.0,27.67,58.33
exp039,system_02,front,a04,ws-01_S1toS8,1261,2939,5880,10080,4200,12.51,29.16,58.33
exp039,system_02,front,a04,ws-02_S1toS8,962,3238,5880,10080,4200,9.54,32.12,58.33
exp039,system_02,front,a04,ws-03_S1toS8,1261,2939,5880,10080,4200,12.51,29.16,58.33
exp039,system_02,front,a04,ws-04_S1toS8,1261,2939,5880,10080,4200,12.51,29.16,58.33
exp040,system_02,front,a06,ws-01_S1toS8,1155,3045,5880,10080,4200,11.46,30.21,58.33
exp040,system_02,front,a06,ws-02_S1toS8,901,3299,5880,10080,4200,8.94,32.73,58.33
exp040,system_02,front,a06,ws-03_S1toS8,1155,3045,5880,10080,4200,11.46,30.21,58.33
exp040,system_02,front,a06,ws-04_S1toS8,1155,3045,5880,10080,4200,11.46,30.21,58.33
exp041,system_03,front,a00,ws-01_S1S2,984,3216,5880,10080,4200,9.76,31.9,58.33
exp041,system_03,front,a00,ws-02_S3S4,1898,2302,5880,10080,4200,18.83,22.84,58.33
exp041,system_03,front,a00,ws-03_S5,590,3610,5880,10080,4200,5.85,35.81,58.33
exp041,system_03,front,a00,ws-04_S7,520,3680,5880,10080,4200,5.16,36.51,58.33
exp041,system_03,front,a00,ws-05_S6S8,2370,1830,5880,10080,4200,23.51,18.15,58.33
exp042,system_03,front,a02,ws-01_S1S2,984,3216,5880,10080,4200,9.76,31.9,58.33
exp042,system_03,front,a02,ws-02_S3S4,1266,2934,5880,10080,4200,12.56,29.11,58.33
exp042,system_03,front,a02,ws-03_S5,590,3610,5880,10080,4200,5.85,35.81,58.33
exp042,system_03,front,a02,ws-04_S7,520,3680,5880,10080,4200,5.16,36.51,58.33
exp042,system_03,front,a02,ws-05_S6S8,2370,1830,5880,10080,4200,23.51,18.15,58.33
exp043,system_03,front,a04,ws-01_S1S2,984,3216,5880,10080,4200,9.76,31.9,58.33
exp043,system_03,front,a04,ws-02_S3S4,1266,2934,5880,10080,4200,12.56,29.11,58.33
exp043,system_03,front,a04,ws-03_S5,590,3610,5880,10080,4200,5.85,35.81,58.33
exp043,system_03,front,a04,ws-04_S7,520,3680,5880,10080,4200,5.16,36.51,58.33
exp043,system_03,front,a04,ws-05_S6S8,1385,2815,5880,10080,4200,13.74,27.93,58.33
exp044,system_03,front,a06,ws-01_S1S2,984,3216,5880,10080,4200,9.76,31.9,58.33
exp044,system_03,front,a06,ws-02_S3S4,1266,2934,5880,10080,4200,12.56,29.11,58.33
exp044,system_03,front,a06,ws-03_S5,408,3792,5880,10080,4200,4.05,37.62,58.33
exp044,system_03,front,a06,ws-04_S7,325,3875,5880,10080,4200,3.22,38.44,58.33
exp044,system_03,front,a06,ws-05_S6S8,1385,2815,5880,10080,4200,13.74,27.93,58.33
exp045,system_05,front,a00,ws-01_S1toS8,1205,2995,5880,10080,4200,11.95,29.71,58.33
exp045,system_05,front,a00,ws-02_S1toS8,1569,2631,5880,10080,4200,15.57,26.1,58.33
exp045,system_05,front,a00,ws-03_S1toS8,1569,2631,5880,10080,4200,15.57,26.1,58.33
exp045,system_05,front,a00,ws-04_S1toS8,724,3476,5880,10080,4200,7.18,34.48,58.33
exp045,system_05,front,a00,ws-05_S1toS8,845,3355,5880,10080,4200,8.38,33.28,58.33
exp046,system_05,front,a02,ws-01_S1toS8,1047,3153,5880,10080,4200,10.39,31.28,58.33
exp046,system_05,front,a02,ws-02_S1toS8,1411,2789,5880,10080,4200,14.0,27.67,58.33
exp046,system_05,front,a02,ws-03_S1toS8,1411,2789,5880,10080,4200,14.0,27.67,58.33
exp046,system_05,front,a02,ws-04_S1toS8,645,3555,5880,10080,4200,6.4,35.27,58.33
exp046,system_05,front,a02,ws-05_S1toS8,766,3434,5880,10080,4200,7.6,34.07,58.33
exp047,system_05,front,a04,ws-01_S1toS8,962,3238,5880,10080,4200,9.54,32.12,58.33
exp047,system_05,front,a04,ws-02_S1toS8,1261,2939,5880,10080,4200,12.51,29.16,58.33
exp047,system_05,front,a04,ws-03_S1toS8,1261,2939,5880,10080,4200,12.51,29.16,58.33
exp047,system_05,front,a04,ws-04_S1toS8,581,3619,5880,10080,4200,5.76,35.9,58.33
exp047,system_05,front,a04,ws-05_S1toS8,680,3520,5880,10080,4200,6.75,34.92,58.33
exp048,system_05,front,a06,ws-01_S1toS8,901,3299,5880,10080,4200,8.94,32.73,58.33
exp048,system_05,front,a06,ws-02_S1toS8,1155,3045,5880,10080,4200,11.46,30.21,58.33
exp048,system_05,front,a06,ws-03_S1toS8,1155,3045,5880,10080,4200,11.46,30.21,58.33
exp048,system_05,front,a06,ws-04_S1toS8,535,3665,5880,10080,4200,5.31,36.36,58.33
exp048,system_05,front,a06,ws-05_S1toS8,620,3580,5880,10080,4200,6.15,35.52,58.33
exp049,system_01,rear,a00,ws-03_S1toS4,1748,2452,5880,10080,4200,17.34,24.33,58.33
exp049,system_01,rear,a00,ws-04_S5S7,416,3784,5880,10080,4200,4.13,37.54,58.33
exp049,system_01,rear,a00,ws-05_S6S8,2466,1734,5880,10080,4200,24.46,17.2,58.33
exp050,system_01,rear,a02,ws-03_S1toS4,1376,2824,5880,10080,4200,13.65,28.02,58.33
exp050,system_01,rear,a02,ws-04_S5S7,416,3784,5880,10080,4200,4.13,37.54,58.33
exp050,system_01,rear,a02,ws-05_S6S8,2466,1734,5880,10080,4200,24.46,17.2,58.33
exp051,system_01,rear,a04,ws-03_S1toS4,1376,2824,5880,10080,4200,13.65,28.02,58.33
exp051,system_01,rear,a04,ws-04_S5S7,416,3784,5880,10080,4200,4.13,37.54,58.33
exp051,system_01,rear,a04,ws-05_S6S8,1660,2540,5880,10080,4200,16.47,25.2,58.33
exp052,system_01,rear,a06,ws-03_S1toS4,1376,2824,5880,10080,4200,13.65,28.02,58.33
exp052,system_01,rear,a06,ws-04_S5S7,260,3940,5880,10080,4200,2.58,39.09,58.33
exp052,system_01,rear,a06,ws-05_S6S8,1660,2540,5880,10080,4200,16.47,25.2,58.33
exp053,system_02,rear,a00,ws-01_S1toS8,1060,3140,5880,10080,4200,10.52,31.15,58.33
exp053,system_02,rear,a00,ws-02_S1toS8,1030,3170,5880,10080,4200,10.22,31.45,58.33
exp053,system_02,rear,a00,ws-03_S1toS8,1120,3080,5880,10080,4200,11.11,30.56,58.33
exp053,system_02,rear,a00,ws-04_S1toS8,1150,3050,5880,10080,4200,11.41,30.26,58.33
exp054,system_02,rear,a02,ws-01_S1toS8,980,3220,5880,10080,4200,9.72,31.94,58.33
exp054,system_02,rear,a02,ws-02_S1toS8,963,3237,5880,10080,4200,9.55,32.11,58.33
exp054,system_02,rear,a02,ws-03_S1toS8,1014,3186,5880,10080,4200,10.06,31.61,58.33
exp054,system_02,rear,a02,ws-04_S1toS8,1031,3169,5880,10080,4200,10.23,31.44,58.33
exp055,system_02,rear,a04,ws-01_S1toS8,862,3338,5880,10080,4200,8.55,33.12,58.33
exp055,system_02,rear,a04,ws-02_S1toS8,861,3339,5880,10080,4200,8.54,33.12,58.33
exp055,system_02,rear,a04,ws-03_S1toS8,864,3336,5880,10080,4200,8.57,33.1,58.33
exp055,system_02,rear,a04,ws-04_S1toS8,865,3335,5880,10080,4200,8.58,33.09,58.33
exp056,system_02,rear,a06,ws-01_S1toS8,815,3385,5880,10080,4200,8.09,33.58,58.33
exp056,system_02,rear,a06,ws-02_S1toS8,806,3394,5880,10080,4200,8.0,33.67,58.33
exp056,system_02,rear,a06,ws-03_S1toS8,833,3367,5880,10080,4200,8.26,33.4,58.33
exp056,system_02,rear,a06,ws-04_S1toS8,842,3358,5880,10080,4200,8.35,33.31,58.33
exp057,system_03,rear,a00,ws-01_S1S2,352,3848,5880,10080,4200,3.49,38.17,58.33
exp057,system_03,rear,a00,ws-02_S3S4,1396,2804,5880,10080,4200,13.85,27.82,58.33
exp057,system_03,rear,a00,ws-04_S7,416,3784,5880,10080,4200,4.13,37.54,58.33
exp057,system_03,rear,a00,ws-05_S6S8,2196,2004,5880,10080,4200,21.79,19.88,58.33
exp058,system_03,rear,a02,ws-01_S1S2,352,3848,5880,10080,4200,3.49,38.17,58.33
exp058,system_03,rear,a02,ws-02_S3S4,1024,3176,5880,10080,4200,10.16,31.51,58.33
exp058,system_03,rear,a02,ws-04_S7,416,3784,5880,10080,4200,4.13,37.54,58.33
exp058,system_03,rear,a02,ws-05_S6S8,2196,2004,5880,10080,4200,21.79,19.88,58.33
exp059,system_03,rear,a04,ws-01_S1S2,352,3848,5880,10080,4200,3.49,38.17,58.33
exp059,system_03,rear,a04,ws-02_S3S4,1024,3176,5880,10080,4200,10.16,31.51,58.33
exp059,system_03,rear,a04,ws-04_S7,416,3784,5880,10080,4200,4.13,37.54,58.33
exp059,system_03,rear,a04,ws-05_S6S8,1660,2540,5880,10080,4200,16.47,25.2,58.33
exp060,system_03,rear,a06,ws-01_S1S2,352,3848,5880,10080,4200,3.49,38.17,58.33
exp060,system_03,rear,a06,ws-02_S3S4,1024,3176,5880,10080,4200,10.16,31.51,58.33
exp060,system_03,rear,a06,ws-04_S7,260,3940,5880,10080,4200,2.58,39.09,58.33
exp060,system_03,rear,a06,ws-05_S6S8,1660,2540,5880,10080,4200,16.47,25.2,58.33
exp061,system_05,rear,a00,ws-01_S1toS8,1030,3170,5880,10080,4200,10.22,31.45,58.33
exp061,system_05,rear,a00,ws-02_S1toS8,1030,3170,5880,10080,4200,10.22,31.45,58.33
exp061,system_05,rear,a00,ws-03_S1toS8,1211,2989,5880,10080,4200,12.01,29.65,58.33
exp061,system_05,rear,a00,ws-04_S1toS8,530,3670,5880,10080,4200,5.26,36.41,58.33
exp061,system_05,rear,a00,ws-05_S1toS8,560,3640,5880,10080,4200,5.56,36.11,58.33
exp062,system_05,rear,a02,ws-01_S1toS8,963,3237,5880,10080,4200,9.55,32.11,58.33
exp062,system_05,rear,a02,ws-02_S1toS8,963,3237,5880,10080,4200,9.55,32.11,58.33
exp062,system_05,rear,a02,ws-03_S1toS8,1066,3134,5880,10080,4200,10.58,31.09,58.33
exp062,system_05,rear,a02,ws-04_S1toS8,490,3710,5880,10080,4200,4.86,36.81,58.33
exp062,system_05,rear,a02,ws-05_S1toS8,507,3693,5880,10080,4200,5.03,36.64,58.33
exp063,system_05,rear,a04,ws-01_S1toS8,861,3339,5880,10080,4200,8.54,33.12,58.33
exp063,system_05,rear,a04,ws-02_S1toS8,861,3339,5880,10080,4200,8.54,33.12,58.33
exp063,system_05,rear,a04,ws-03_S1toS8,868,3332,5880,10080,4200,8.61,33.06,58.33
exp063,system_05,rear,a04,ws-04_S1toS8,431,3769,5880,10080,4200,4.28,37.39,58.33
exp063,system_05,rear,a04,ws-05_S1toS8,432,3768,5880,10080,4200,4.29,37.38,58.33
exp064,system_05,rear,a06,ws-01_S1toS8,806,3394,5880,10080,4200,8.0,33.67,58.33
exp064,system_05,rear,a06,ws-02_S1toS8,806,3394,5880,10080,4200,8.0,33.67,58.33
exp064,system_05,rear,a06,ws-03_S1toS8,860,3340,5880,10080,4200,8.53,33.13,58.33
exp064,system_05,rear,a06,ws-04_S1toS8,408,3792,5880,10080,4200,4.05,37.62,58.33
